13F	0001364742	BlackRockInc.	2018-05-09
nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt	sshPrnamt	sshPrnamtType	investmentDiscretion	otherManager	votingAuthority	Sole	Shared	None
ABEONA THERAPEUTICS INC	COM	00289Y107	46		3194	SH	SOLE	40		3194	0	0
ABERCROMBIE & FITCH CO	CL A	002896207	546		22559	SH	SOLE	2		11021	0	11538
ABERCROMBIE & FITCH CO	CL A	002896207	8		349	SH	SOLE	4		349	0	0
ABERCROMBIE & FITCH CO	CL A	002896207	93		3829	SH	SOLE	7		3829	0	0
ABERCROMBIE & FITCH CO	CL A	002896207	7893		326013	SH	SOLE	18		326013	0	0
ABERCROMBIE & FITCH CO	CL A	002896207	2103		86875	SH	SOLE	19		86875	0	0
ABERCROMBIE & FITCH CO	CL A	002896207	152417		6295605	SH	SOLE	21		6295605	0	0
ABERCROMBIE & FITCH CO	CL A	002896207	54482		2250391	SH	SOLE	22		2078933	0	171458
ABERCROMBIE & FITCH CO	CL A	002896207	740		30558	SH	SOLE	23		30558	0	0
ABERCROMBIE & FITCH CO	CL A	002896207	1691		69842	SH	SOLE	26		8806	0	61036
ABERCROMBIE & FITCH CO	CL A	002896207	241		9961	SH	SOLE	28		9961	0	0
ABERCROMBIE & FITCH CO	CL A	002896207	2304		95157	SH	SOLE	30		95157	0	0
ABERCROMBIE & FITCH CO	CL A	002896207	987		40787	SH	SOLE	34		40787	0	0
ABERCROMBIE & FITCH CO	CL A	002896207	163		6737	SH	SOLE	36		6737	0	0
ABERCROMBIE & FITCH CO	CL A	002896207	188		7770	SH	SOLE	40		7770	0	0
ABIOMED INC	COM	003654100	10056		34559	SH	SOLE	2		20864	0	13695
ABIOMED INC	COM	003654100	64		219	SH	SOLE	4		219	0	0
ABIOMED INC	COM	003654100	284		975	SH	SOLE	7		975	0	0
ABIOMED INC	COM	003654100	40496		139167	SH	SOLE	18		139167	0	0
ABIOMED INC	COM	003654100	1806		6206	SH	SOLE	19		6206	0	0
ABIOMED INC	COM	003654100	596837		2051056	SH	SOLE	21		2051056	0	0
ABIOMED INC	COM	003654100	396369		1362140	SH	SOLE	22		1222905	0	139235
ABIOMED INC	COM	003654100	16549		56872	SH	SOLE	26		15057	0	41815
ABIOMED INC	COM	003654100	1691		5811	SH	SOLE	28		5811	0	0
ABIOMED INC	COM	003654100	931		3199	SH	SOLE	29		0	0	3199
ABIOMED INC	COM	003654100	9288		31920	SH	SOLE	30		31920	0	0
ABIOMED INC	COM	003654100	261		896	SH	SOLE	31		896	0	0
ABIOMED INC	COM	003654100	1314		4515	SH	SOLE	40		4515	0	0
ABM INDS INC	COM	000957100	253		7549	SH	SOLE	2		2342	0	5207
ABM INDS INC	COM	000957100	11		343	SH	SOLE	4		343	0	0
ABM INDS INC	COM	000957100	3278		97899	SH	SOLE	7		97899	0	0
ABM INDS INC	COM	000957100	8760		261651	SH	SOLE	18		261651	0	0
ABM INDS INC	COM	000957100	1474		44032	SH	SOLE	19		44032	0	0
ABM INDS INC	COM	000957100	193432		5777535	SH	SOLE	21		5777535	0	0
ABM INDS INC	COM	000957100	51935		1551231	SH	SOLE	22		1443026	0	108205
ABM INDS INC	COM	000957100	617		18439	SH	SOLE	26		12770	0	5669
ABM INDS INC	COM	000957100	258		7709	SH	SOLE	28		7709	0	0
ABM INDS INC	COM	000957100	3058		91347	SH	SOLE	30		91347	0	0
ABM INDS INC	COM	000957100	95		2834	SH	SOLE	36		2834	0	0
ABM INDS INC	COM	000957100	206		6159	SH	SOLE	40		6159	0	0
ABRAXAS PETE CORP	COM	003830106	81		36557	SH	SOLE	2		27097	0	9460
ABRAXAS PETE CORP	COM	003830106	4		2021	SH	SOLE	7		2021	0	0
ABRAXAS PETE CORP	COM	003830106	1144		515154	SH	SOLE	18		515154	0	0
ABRAXAS PETE CORP	COM	003830106	374		168691	SH	SOLE	19		168691	0	0
ABRAXAS PETE CORP	COM	003830106	11022		4964779	SH	SOLE	21		4964779	0	0
ABRAXAS PETE CORP	COM	003830106	11319		5098607	SH	SOLE	22		4894106	0	204501
ACACIA COMMUNICATIONS INC	COM	00401C108	51		1339	SH	SOLE	2		788	0	551
ACACIA COMMUNICATIONS INC	COM	00401C108	19		488	SH	SOLE	7		488	0	0
ACACIA COMMUNICATIONS INC	COM	00401C108	2317		60255	SH	SOLE	18		60255	0	0
ACACIA COMMUNICATIONS INC	COM	00401C108	567		14751	SH	SOLE	19		14751	0	0
ACACIA COMMUNICATIONS INC	COM	00401C108	24053		625410	SH	SOLE	21		625410	0	0
ACACIA COMMUNICATIONS INC	COM	00401C108	19457		505906	SH	SOLE	22		472393	0	33513
ACACIA COMMUNICATIONS INC	COM	00401C108	68		1775	SH	SOLE	26		0	0	1775
ACACIA COMMUNICATIONS INC	COM	00401C108	81		2113	SH	SOLE	28		2113	0	0
ACACIA COMMUNICATIONS INC	COM	00401C108	127		3301	SH	SOLE	30		3301	0	0
ACACIA COMMUNICATIONS INC	COM	00401C108	91		2356	SH	SOLE	40		2356	0	0
ACACIA RESH CORP	ACACIA TCH COM	003881307	32		9046	SH	SOLE	2		721	0	8325
ACACIA RESH CORP	ACACIA TCH COM	003881307	4		1136	SH	SOLE	7		1136	0	0
ACACIA RESH CORP	ACACIA TCH COM	003881307	555		158669	SH	SOLE	18		158669	0	0
ACACIA RESH CORP	ACACIA TCH COM	003881307	54		15302	SH	SOLE	19		15302	0	0
ACACIA RESH CORP	ACACIA TCH COM	003881307	4454		1272549	SH	SOLE	21		1272549	0	0
ACACIA RESH CORP	ACACIA TCH COM	003881307	4078		1165232	SH	SOLE	22		1117832	0	47400
ACADIA HEALTHCARE COMPANY IN	COM	00404A109	3093		78953	SH	SOLE	2		40317	0	38636
ACADIA HEALTHCARE COMPANY IN	COM	00404A109	1316		33586	SH	SOLE	4		33586	0	0
ACADIA HEALTHCARE COMPANY IN	COM	00404A109	106		2699	SH	SOLE	7		2699	0	0
ACADIA HEALTHCARE COMPANY IN	COM	00404A109	22387		571394	SH	SOLE	18		571394	0	0
ACADIA HEALTHCARE COMPANY IN	COM	00404A109	80999		2067351	SH	SOLE	19		2067351	0	0
ACADIA HEALTHCARE COMPANY IN	COM	00404A109	146892		3749148	SH	SOLE	21		3749148	0	0
ACADIA HEALTHCARE COMPANY IN	COM	00404A109	105395		2690025	SH	SOLE	22		2411883	0	278142
ACADIA HEALTHCARE COMPANY IN	COM	00404A109	917		23412	SH	SOLE	26		17610	0	5802
